STUSAB,STATE_NAME,barber_loans,estimate,barbers_per_capita,barbers_per_100k
IL,Illinois,11080,12770631,8.676157035623377e-4,86.76157035623378
GA,Georgia,8865,10403847,8.520886552829929e-4,85.20886552829928
NV,Nevada,1874,2972382,6.304707806735473e-4,63.04707806735473
LA,Louisiana,2862,4664362,6.13588739467477e-4,61.3588739467477
MS,Mississippi,1644,2984418,5.508611729322099e-4,55.086117293220994
AL,Alabama,1830,4876250,3.7528838759292487e-4,37.52883875929248
DC,District of Columbia,259,692683,3.7390841120685795e-4,37.39084112068579
TN,Tennessee,2448,6709356,3.648636322174587e-4,36.48636322174587
AR,Arkansas,1076,2999370,3.5874200248718895e-4,35.87420024871889
FL,Florida,6522,20901636,3.120329911017492e-4,31.203299110174918
SC,South Carolina,1539,5020806,3.0652449029100107e-4,30.652449029100108
OH,Ohio,3363,11655397,2.885358602542668e-4,28.853586025426676
MI,Michigan,2870,9965265,2.880003692827035e-4,28.800036928270348
IN,Indiana,1862,6665703,2.793403786517341e-4,27.93403786517341
DE,Delaware,262,957248,2.737012769940496e-4,27.37012769940496
TX,Texas,7479,28260856,2.646416654895379e-4,26.46416654895379
MO,Missouri,1471,6104910,2.4095359309146244e-4,24.095359309146243
CA,California,8837,39283497,2.2495451461462302e-4,22.495451461462302
MD,Maryland,1327,6018848,2.2047408407721876e-4,22.047408407721875
WI,Wisconsin,1271,5790716,2.1948926523075903e-4,21.9489265230759
AZ,Arizona,1395,7050299,1.9786394874884029e-4,19.786394874884028
NY,New York,3854,19572319,1.969107493087559e-4,19.69107493087559
PA,Pennsylvania,2413,12791530,1.8864045192404662e-4,18.86404519240466
NC,North Carolina,1702,10264876,1.6580814030291258e-4,16.580814030291258
RI,Rhode Island,174,1057231,1.645808721083661e-4,16.45808721083661
CT,Connecticut,585,3575074,1.6363297654817775e-4,16.363297654817774
IA,Iowa,496,3139508,1.5798653801805888e-4,15.798653801805889
KS,Kansas,454,2910652,1.5597879787758893e-4,15.597879787758892
VA,Virginia,1265,8454463,1.4962511516106937e-4,14.962511516106936
NJ,New Jersey,1322,8878503,1.4889897542412275e-4,14.889897542412275
OK,Oklahoma,580,3932870,1.4747499917363148e-4,14.747499917363148
KY,Kentucky,648,4449052,1.4564900567581588e-4,14.564900567581589
MN,Minnesota,771,5563378,1.3858486696392011e-4,13.858486696392012
MA,Massachusetts,891,6850553,1.300624927651826e-4,13.00624927651826
NE,Nebraska,222,1914571,1.1595286881499825e-4,11.595286881499824
ND,North Dakota,79,756717,1.0439834178431302e-4,10.439834178431303
PR,Puerto Rico,323,3318447,9.733468697857763e-5,9.733468697857763
CO,Colorado,546,5610349,9.732014888913328e-5,9.732014888913328
ME,Maine,123,1335492,9.210088866125743e-5,9.210088866125743
AK,Alaska,67,737068,9.090070386992788e-5,9.090070386992787
NM,New Mexico,184,2092454,8.793502748447516e-5,8.793502748447516
SD,South Dakota,74,870638,8.499514149393893e-5,8.499514149393892
NH,New Hampshire,108,1348124,8.011132507098754e-5,8.011132507098754
WV,West Virginia,145,1817305,7.978847799351237e-5,7.978847799351237
WA,Washington,587,7404107,7.928032374464604e-5,7.928032374464604
OR,Oregon,326,4129803,7.893839003942804e-5,7.893839003942804
ID,Idaho,133,1717750,7.742686654053268e-5,7.7426866540532675
UT,Utah,214,3096848,6.910251972327993e-5,6.910251972327993
HI,Hawaii,96,1422094,6.750608609557456e-5,6.750608609557456
MT,Montana,65,1050649,6.186652250180603e-5,6.186652250180603
WY,Wyoming,34,581024,5.8517376218538306e-5,5.851737621853831
VT,Vermont,19,624313,3.0433452450934067e-5,3.043345245093407
