project_county_name,naics_code,count,county_fips,est,loansVsEst
ADAMS,484121,59,001,4,55
ALCORN,484121,30,003,8,22
AMITE,484121,23,005,3,20
ATTALA,484121,44,007,NA,0
BENTON,484121,29,009,NA,0
BOLIVAR,484121,31,011,3,28
CALHOUN,484121,26,013,NA,0
CARROLL,484121,6,015,3,3
CHICKASAW,484121,45,017,13,32
CHOCTAW,484121,5,019,NA,0
CLAIBORNE,484121,28,021,NA,0
CLARKE,484121,31,023,NA,0
CLAY,484121,87,025,NA,0
COAHOMA,484121,37,027,3,34
COPIAH,484121,37,029,NA,0
COVINGTON,484121,28,031,11,17
DESOTO,484121,396,033,46,350
FORREST,484121,66,035,8,58
FRANKLIN,484121,14,037,NA,0
GEORGE,484121,9,039,NA,0
GREENE,484121,11,041,NA,0
GRENADA,484121,35,043,9,26
HANCOCK,484121,4,045,NA,0
HARRISON,484121,77,047,9,68
HINDS,484121,266,049,15,251
HOLMES,484121,43,051,NA,0
HUMPHREYS,484121,15,053,NA,0
ITAWAMBA,484121,34,057,6,28
JACKSON,484121,66,059,9,57
JASPER,484121,33,061,NA,0
JEFFERSON,484121,18,063,NA,0
JEFFERSON DAVIS,484121,25,065,NA,0
JONES,484121,55,067,9,46
KEMPER,484121,16,069,NA,0
LAFAYETTE,484121,30,071,6,24
LAMAR,484121,34,073,10,24
LAUDERDALE,484121,69,075,6,63
LAWRENCE,484121,13,077,3,10
LEAKE,484121,28,079,3,25
LEE,484121,141,081,17,124
LEFLORE,484121,40,083,3,37
LINCOLN,484121,45,085,4,41
LOWNDES,484121,79,087,11,68
MADISON,484121,129,089,5,124
MARION,484121,28,091,11,17
MARSHALL,484121,110,093,12,98
MONROE,484121,120,095,3,117
MONTGOMERY,484121,9,097,4,5
NESHOBA,484121,14,099,5,9
NEWTON,484121,8,101,4,4
NOXUBEE,484121,32,103,NA,0
OKTIBBEHA,484121,48,105,NA,0
PANOLA,484121,125,107,NA,0
PEARL RIVER,484121,57,109,NA,0
PERRY,484121,8,111,4,4
PIKE,484121,78,113,8,70
PONTOTOC,484121,37,115,9,28
PRENTISS,484121,50,117,9,41
QUITMAN,484121,30,119,NA,0
RANKIN,484121,91,121,24,67
SCOTT,484121,36,123,10,26
SHARKEY,484121,4,125,NA,0
SIMPSON,484121,38,127,4,34
SMITH,484121,20,129,NA,0
STONE,484121,13,131,3,10
SUNFLOWER,484121,89,133,5,84
TALLAHATCHIE,484121,70,135,NA,0
TATE,484121,82,137,6,76
TIPPAH,484121,32,139,6,26
TISHOMINGO,484121,6,141,NA,0
TUNICA,484121,8,143,NA,0
UNION,484121,55,145,11,44
WALTHALL,484121,58,147,3,55
WARREN,484121,32,149,3,29
WASHINGTON,484121,61,151,7,54
WAYNE,484121,43,153,NA,0
WEBSTER,484121,7,155,NA,0
WILKINSON,484121,12,157,NA,0
WINSTON,484121,24,159,6,18
YALOBUSHA,484121,54,161,3,51
YAZOO,484121,27,163,5,22
